motor voltage / V,time / s,number of oscilations,angular frequency,right / arbitarry units,left / arbitarry units,average / arbitrary units,braking current = 0.6A
5.00,28.81,10,2.18,0.6,2.0,1.3,
6.00,24.06,10,2.61,1.4,2.8,2.1,
6.50,22.13,10,2.84,3.4,2.0,2.7,
6.75,21.32,10,2.95,3.8,2.4,3.1,
6.90,20.88,10,3.01,2.6,4.0,3.3,
7.00,20.34,10,3.09,4.0,2.6,3.3,
7.25,19.81,10,3.17,3.8,2.4,3.1,
7.50,19.18,10,3.28,3.4,2.0,2.7,
8.00,17.81,10,3.53,2.6,1.2,1.9,
9.20,15.37,10,4.09,1.6,0.2,0.9,
